#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1,Adam Ottavino,493603,1247,1247,7037,*01sgi*,FA,RP,RP,Ottavino,Adam,,
2,Matt Moore,519043,1890,1890,8029,*01fug*,FA,RP,RP,Moore,Matt,,
3,Clayton Kershaw,477132,2036,2036,7150,*005ih*,FA,SP,SP,Kershaw,Clayton,,
4,David Peralta,444482,2136,2136,8801,*03d1m*,FA,OF,OF,Peralta,David,,
5,Carlos Santana,467793,2396,2396,7514,*01cfr*,CLE,1B,1B,Santana,Carlos,Santana,Carlos
6,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory
7,Lance Lynn,458681,2520,2520,7766,*01s94*,FA,SP,SP,Lynn,Lance,,
8,Tommy Pham,502054,2967,2967,8919,*025fx*,FA,OF,OF,Pham,Tommy,,
9,Kenley Jansen,445276,3096,3096,7931,*01svz*,FA,RP,RP,Jansen,Kenley,,
10,Max Scherzer,453286,3137,3137,6837,*004ee*,FA,SP,SP,Scherzer,Max,,
11,T.J. McFarland,519008,3237,3237,8445,*02nho*,OAK,RP,RP,McFarland,T.J.,McFarland,T.J.
12,Anthony Rizzo,519203,3473,3473,8018,*01sea*,FA,1B,1B,Rizzo,Anthony,,
13,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam
14,Matt Buschmann,501936,3832,,9343,,TOR,P,P,Buschmann,Matt,Buschmann,Matt
15,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin
16,Charlie Morton,450203,4676,4676,6918,*005jn*,FA,SP,SP,Morton,Charlie,,
17,Jason Heyward,518792,4940,4940,7112,*01c5o*,FA,OF,OF,Heyward,Jason,,
18,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,DH,OF,Stanton,Giancarlo,Stanton,Giancarlo
19,Jake Diekman,518617,5003,5003,8282,*02iya*,FA,RP,RP,Diekman,Jake,,
20,Anthony Gose,543238,5097,5097,7938,*01sha*,NYM,RP,RP,Gose,Anthony,Gose,Anthony
21,Justin Turner,457759,5235,5235,7742,*01lum*,FA,1B,1B,Turner,Justin,,
22,Robbie Grossman,543257,5254,5254,8471,*01seb*,FA,OF,OF,Grossman,Robbie,,
23,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy
24,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie
25,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose
26,Jesse Chavez,445926,5448,5448,6704,*013ip*,FA,RP,RP,Chavez,Jesse,,
27,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle
28,Ryan Brasier,518489,5615,5615,8481,*021jb*,LAD,RP,RP,Brasier,Ryan,Brasier,Ryan
29,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B,1B,Flores,Wilmer,Flores,Wilmer
30,J.D. Martinez,502110,6184,6184,8122,*02334*,FA,DH,DH,Martinez,J.D.,,
31,Jose Cisnero,542585,6399,6399,8469,*02jmi*,FA,RP,RP,Cisnero,Jose,,
32,Alex Cobb,502171,6562,6562,8058,*01seh*,DET,SP,SP,Cobb,Alex,Cobb,Alex
33,Craig Kimbrel,518886,6655,6655,7760,*01scl*,FA,RP,RP,Kimbrel,Craig,,
34,Julio Teheran,527054,6797,6797,7404,*01cih*,BAL,SP,SP,Teheran,Julio,Teheran,Julio
35,Chase Anderson,502624,6895,6895,8781,*026k6*,TEX,RP,RP,Anderson,Chase,,
36,Martin Perez,527048,6902,6902,7791,*01fhm*,FA,SP,SP,Perez,Martin,,
37,Luis Garcia,472610,6984,6984,8542,*0321h*,FA,RP,RP,Garcia,Luis,,
38,Ryan Pressly,519151,7005,7005,8452,*02zif*,HOU,RP,RP,Pressly,Ryan,Pressly,Ryan
39,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador
40,Evan Scribner,519267,7525,,8055,,TB,RP,RP,Scribner,Evan,Scribner,Evan
41,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis
42,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,SS,SS,Rojas,Miguel,Rojas,Miguel
43,Hunter Strickland,519326,7836,7836,8890,*01ses*,FA,RP,RP,Strickland,Hunter,,
44,Will Smith,519293,8048,8048,8297,*01skh*,FA,RP,RP,Smith,Will,,
45,Matt Carpenter,572761,8090,8090,8083,*021at*,FA,DH,DH,Carpenter,Matt,,
46,Bryan Shaw,543766,8110,8110,8090,,CIN,RP,RP,Shaw,Bryan,Shaw,Bryan
47,David Robertson,502085,8241,8241,7384,*005m0*,FA,RP,RP,Robertson,David,,
48,Donovan Solano,456781,8623,8623,8294,,FA,1B/3B,1B/3B,Solano,Donovan,,
49,Justin Verlander,434378,8700,8700,5420,*000dp*,FA,SP,SP,Verlander,Justin,,
50,Kirby Yates,489446,9073,9073,8808,*030vs*,FA,RP,RP,Yates,Kirby,,
51,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan
52,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul
53,Starling Marte,516782,9241,9241,7736,*01s9k*,NYM,OF,OF,Marte,Starling,Marte,Starling
54,Patrick Corbin,571578,9323,9323,8272,*01xfr*,FA,SP,SP,Corbin,Patrick,,
55,Dan Straily,573185,9460,9460,8356,,CHC,SP,SP,Straily,Dan,,
56,Yan Gomes,543228,9627,9627,8290,*024o9*,FA,C,C,Gomes,Yan,,
57,Joe Kelly,523260,9761,9761,8316,*01sve*,FA,RP,RP,Kelly,Joe,,
58,Christian Vazquez,543877,9774,9774,8843,*029us*,MIN,C,C,Vazquez,Christian,Vázquez,Christian
59,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan
60,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,PIT,DH,DH,McCutchen,Andrew,McCutchen,Andrew
61,DJ LeMahieu,518934,9874,9874,8079,*01sfi*,NYY,1B/3B,1B/2B/ 3B,LeMahieu,DJ,LeMahieu,DJ
62,Christian Bethancourt,542194,10028,10028,8615,*01sci*,FA,C,C,Bethancourt,Christian,,
63,Tyler Matzek,554431,10058,10058,7675,*01iz0*,FA,RP,RP,Matzek,Tyler,,
64,Max Stassi,545358,10059,10059,8582,*01sc7*,SF,C,C,Stassi,Max,,
65,Kyle Gibson,502043,10123,10123,8026,*01fha*,FA,SP,SP,Gibson,Kyle,,
66,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike
67,Shelby Miller,571946,10197,10197,7683,*01sbv*,FA,RP,RP,Miller,Shelby,,
68,Jose Iglesias,578428,10231,10231,7867,*01s98*,FA,2B/3B,2B/3B,Iglesias,Jose,,
69,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis
70,Randal Grichuk,545341,10243,10243,8773,*01s9c*,FA,OF,OF,Grichuk,Randal,,
71,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack
72,Michael Tonkin,543859,10315,10315,8541,,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael
73,Marcell Ozuna,542303,10324,10324,8478,*01usi*,ATL,DH,DH,Ozuna,Marcell,Ozuna,Marcell
74,Enrique Hernandez,571771,10472,10472,8835,*02h98*,FA,3B/OF,3B/OF,Hernandez,Enrique,,
75,Scott Alexander,518397,10591,10591,9149,*02hi5*,FA,RP,RP,Alexander,Scott,,
76,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris
77,Carlos Perez,542208,10642,10642,9035,,CHC,C,C/1B,Perez,Carlos,Pérez,Carlos
