               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096808,            0.026869,            0.038758,            0.099906,             0.34609,             0.14024,            0.046209,            0.074627,            0.013465,            0.028065,            0.070612,           0.0032653,           0.0032653
                   1,            0.066282,            0.024318,            0.023917,             0.38659,             0.30161,             0.21399,            0.071458,            0.061808,            0.010776,            0.011916,            0.040547,           0.0065333,           0.0065333
                   2,            0.062645,            0.020674,            0.014219,             0.38117,             0.38981,              0.3819,             0.15697,            0.065367,           0.0086993,           0.0072399,            0.010416,           0.0097353,           0.0097353
                   3,            0.057524,             0.02002,            0.010834,             0.61538,              0.4531,             0.43028,             0.19028,            0.055346,           0.0095375,            0.004339,            0.009703,            0.009703,            0.009703
                   4,            0.052703,            0.019142,            0.008363,             0.57804,             0.54878,             0.51872,             0.23339,            0.048217,            0.008752,           0.0064824,            0.009703,            0.009703,            0.009703
                   5,            0.048037,             0.01811,           0.0083083,             0.59044,             0.41712,             0.45164,             0.19074,            0.048146,            0.008543,           0.0034207,            0.009604,            0.009604,            0.009604
                   6,            0.045328,            0.017459,           0.0082198,              0.6419,              0.5061,             0.46142,              0.2337,            0.047817,           0.0097774,           0.0074827,            0.009505,            0.009505,            0.009505
                   7,            0.045221,             0.01869,           0.0080435,             0.61089,             0.43647,             0.51216,             0.27013,            0.046413,           0.0080388,           0.0034586,            0.009406,            0.009406,            0.009406
                   8,            0.043927,            0.018096,            0.006985,              0.6086,             0.62999,             0.61972,             0.32919,            0.041592,           0.0082285,            0.002962,            0.009307,            0.009307,            0.009307
                   9,            0.041682,            0.016981,           0.0068588,             0.42667,               0.479,              0.4347,             0.26878,            0.042791,           0.0096507,            0.007709,            0.009208,            0.009208,            0.009208
                  10,            0.041441,            0.017197,           0.0070102,             0.72451,             0.58504,             0.63223,             0.36942,            0.039384,           0.0082469,           0.0043316,            0.009109,            0.009109,            0.009109
                  11,              0.0404,            0.016932,           0.0060688,             0.55267,             0.61538,             0.59646,             0.35621,            0.036337,           0.0088967,            0.002597,             0.00901,             0.00901,             0.00901
                  12,            0.039217,            0.016735,           0.0060157,             0.72803,             0.54858,             0.63349,             0.36829,            0.036411,           0.0082833,           0.0047629,            0.008911,            0.008911,            0.008911
                  13,            0.039606,            0.015975,           0.0067064,             0.76407,             0.50857,             0.60435,             0.35415,            0.041299,           0.0092189,            0.015313,            0.008812,            0.008812,            0.008812
                  14,            0.038981,            0.015473,           0.0059361,             0.64041,             0.58903,             0.58181,             0.34425,            0.037956,           0.0085417,           0.0034725,            0.008713,            0.008713,            0.008713
                  15,            0.038611,            0.016931,           0.0058008,             0.75885,             0.52987,             0.62735,             0.37747,            0.038481,           0.0082184,           0.0053572,            0.008614,            0.008614,            0.008614
                  16,            0.037428,            0.016296,             0.00497,             0.67042,             0.68355,             0.68465,             0.44324,            0.032243,           0.0078696,           0.0032754,            0.008515,            0.008515,            0.008515
                  17,            0.036274,            0.015413,           0.0046378,             0.52885,             0.65221,             0.58965,              0.3558,             0.03772,           0.0085821,           0.0029572,            0.008416,            0.008416,            0.008416
                  18,            0.036747,            0.015332,           0.0053601,             0.70323,             0.63352,             0.67699,             0.40121,            0.033401,           0.0082515,           0.0024282,            0.008317,            0.008317,            0.008317
