               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12141,            0.012324,            0.029182,          0.00016966,            0.027778,          0.00011245,          3.3735e-05,             0.12735,              0.0117,            0.030141,              0.0964,              0.0004,              0.0004
                   1,             0.12574,            0.012469,             0.02885,          0.00061824,             0.11111,          0.00052554,          0.00016743,             0.12206,            0.011526,             0.02737,            0.091882,          0.00088218,          0.00088218
                   2,             0.11051,              0.0124,            0.023976,           0.0006956,             0.13889,           0.0011839,          0.00020164,             0.11533,            0.011368,            0.023415,            0.087345,           0.0013446,           0.0013446
                   3,             0.11738,            0.012733,            0.021846,          0.00067078,             0.13889,           0.0022394,          0.00046811,             0.11691,            0.010994,            0.020796,            0.082787,           0.0017871,           0.0017871
                   4,             0.10631,            0.013054,            0.017853,          0.00052097,             0.11111,           0.0010647,          0.00030593,             0.11368,            0.010916,            0.018018,             0.07821,           0.0022099,           0.0022099
                   5,             0.10558,            0.013909,            0.016386,          0.00050929,             0.11111,           0.0023395,          0.00055206,             0.10501,            0.011045,            0.016017,            0.073613,           0.0026129,           0.0026129
                   6,             0.10263,            0.013095,            0.014243,          0.00073529,             0.16667,           0.0043565,          0.00086854,             0.10355,            0.010786,            0.013211,            0.068996,           0.0029961,           0.0029961
                   7,            0.098113,            0.013012,            0.011817,          0.00082025,             0.19444,           0.0037618,          0.00062988,             0.10153,             0.01083,            0.012011,            0.064359,           0.0033595,           0.0033595
                   8,            0.087831,            0.014018,           0.0078882,          0.00088711,             0.22222,            0.020045,           0.0041148,            0.096194,            0.010971,           0.0094655,            0.059703,            0.003703,            0.003703
                   9,            0.094629,            0.015498,           0.0070467,          0.00096092,                0.25,            0.023758,           0.0079535,            0.090083,            0.011238,            0.009088,            0.055027,           0.0040268,           0.0040268
                  10,             0.08629,            0.013753,           0.0062335,           0.0034799,             0.22222,            0.038335,           0.0074186,            0.093647,            0.010751,           0.0079769,            0.050331,           0.0043308,           0.0043308
                  11,            0.087434,            0.012998,           0.0062403,            0.001119,             0.30556,            0.013161,           0.0044315,            0.087946,            0.010815,           0.0072763,            0.045615,            0.004615,            0.004615
                  12,            0.082689,            0.016178,           0.0042953,             0.53304,             0.11111,            0.045962,            0.011581,            0.088418,            0.010718,           0.0072188,            0.040879,           0.0048794,           0.0048794
                  13,            0.081875,            0.013586,           0.0035735,             0.50802,             0.27778,            0.032329,           0.0092363,            0.083211,            0.010676,           0.0074134,            0.036124,           0.0051239,           0.0051239
                  14,            0.079731,            0.015407,           0.0035194,              0.5216,             0.19444,            0.052769,             0.01442,            0.083642,            0.010228,           0.0072534,            0.031349,           0.0053487,           0.0053487
                  15,            0.074543,            0.015089,           0.0029823,             0.56844,             0.11111,            0.046166,            0.020177,            0.085723,           0.0094304,            0.007248,            0.026554,           0.0055537,           0.0055537
                  16,            0.074845,            0.015084,           0.0031401,             0.66472,            0.027778,            0.042766,            0.018393,            0.076842,            0.010041,           0.0071359,            0.021739,           0.0057389,           0.0057389
                  17,            0.074611,            0.013508,           0.0032294,             0.60077,            0.027778,            0.040703,            0.012402,            0.083695,           0.0089243,           0.0069453,            0.016904,           0.0059043,           0.0059043
                  18,            0.071318,            0.013207,           0.0030368,             0.61389,            0.055556,            0.060032,            0.017909,            0.076322,           0.0095147,           0.0070135,             0.01205,           0.0060498,           0.0060498
                  19,            0.068945,            0.014331,           0.0027616,             0.52467,            0.055556,            0.012709,           0.0035794,            0.087621,           0.0084432,           0.0070492,           0.0071756,           0.0061756,           0.0061756
                  20,            0.077791,            0.011778,           0.0031849,             0.54366,            0.027778,            0.042038,             0.01737,            0.074268,           0.0092576,            0.007021,             0.00604,             0.00604,             0.00604
                  21,            0.072697,            0.016022,           0.0040673,             0.56349,            0.055556,            0.054377,            0.019409,            0.076328,           0.0087759,           0.0070005,             0.00604,             0.00604,             0.00604
                  22,            0.069058,            0.016877,           0.0028099,              0.5692,            0.083333,            0.084976,            0.030537,            0.069558,           0.0092596,           0.0070897,            0.005842,            0.005842,            0.005842
                  23,            0.068067,            0.014872,           0.0029752,             0.57167,            0.055556,             0.07689,            0.029401,            0.070446,           0.0090395,           0.0069841,            0.005644,            0.005644,            0.005644
                  24,            0.064478,            0.013077,           0.0027211,             0.56476,            0.055556,            0.086051,            0.026965,            0.069843,           0.0086625,           0.0071122,            0.005446,            0.005446,            0.005446
